id;codigo;nome;semestre;horas;requisitos;corequisitos;area;tipo;horario
epr0044;EPR0044;DESENVOLVIMENTO DE SERVICOS;98;30;EPR0013 OU ENM0187;;prodesp;OPT;Nao Ofertada
epr0049;EPR0049;PROJETO DE FABRICA E LAYOUT;98;30;EPR0002;;prodesp;OPT;4T45
epr0050;EPR0050;PROJETO DE SISTEMAS DE PRODUCAO 8;98;30;EPR0073 E EPR0066 E EPR0064;;prodesp;OPT;4N34, 4T23
epr0051;EPR0051;GESTAO DE PROJETOS AVANCADOS;98;30;EPR0069;;prodesp;OPT;Nao Ofertada
epr0052;EPR0052;SISTEMA DE PRODUCAO AGROALIMENTAR;98;60;;;prodesp;OPT;Nao Ofertada
epr0053;EPR0053;TOPICOS ESPECIAIS EM SIMULACAO EMPRESARIAL;98;90;;;prodesp;OPT;Nao Ofertada
epr0055;EPR0055 | EPR0027;TOPICOS ESPECIAIS EM PESQUISA OPERACIONAL;98;60;;;prodesp;OPT;2N1234
epr0057;EPR0057 | EPR0122;INTRODUCAO A ENGENHARIA DE PRODUCAO;98;60;EST0023 E ENM0134 OU EST0023 E EPR0068;;prodesp;OPT;6N34
epr0070;EPR0070;TOPICOS ESPECIAIS EM GESTAO DA QUALIDADE;98;60;;;prodesp;OPT;Nao Ofertada
epr0075;EPR0075;CONFIABILIDADE, MANUTENIBILIDADE E DISPONIBILIDADE;98;60;MAT0027 E EST0023;;prodesp;OPT;Nao Ofertada
fga0184;FGA0184 | FGA0307;GESTAO DA PRODUCAO E QUALIDADE;98;60;FGA0133;;prodesp;OPT;35T23, 35T45
fga0195;FGA0195 | FGA0307;GESTAO DA PRODUCAO E QUALIDADE;98;60;FGA0184;;prodesp;OPT;35T23, 35T45
ftd0007;FTD0007;INTRODUCAO A ATIVIDADE EMPRESARIAL;98;60;;;humanas;OPT;Nao Ofertada
fup0369;FUP0369;GESTAO DA CADEIA DE SUPRIMENTOS;98;60;;;humanas;OPT;35T45
gpp0033;GPP0033;PLANEJAMENTO GOVERNAMENTAL;98;60;GPP0037 OU ADM0070;;humanas;OPT;Nao Ofertada
gpp0034;GPP0034;ADMINISTRACAO DE SERVICOS NO SETOR PUBLICO;98;60;GPP0037 OU GPP0033;;humanas;OPT;Nao Ofertada
icb0250;ICB0250;DESENVOLVIMENTO EMBRIONARIO E EVOLUCAO EM ANIMAIS E VEGETAIS 1;98;75;;;humanas;OPT;Nao Ofertada
icb0251;ICB0251;DESENVOLVIMENTO EMBRIONARIO E EVOLUCAO EM ANIMAIS E VEGETAIS 2;98;75;;;humanas;OPT;Nao Ofertada
ifd0072;IFD0072 | IFD0055;ELETROMAGNETISMO;98;120;;;exatas;OPT;246M34, 24M34, 6M34
ifd0098;IFD0098 | IFD0030;MECANICA QUANTICA B;98;90;IFD0183 E MAT0027;;exatas;OPT;246M34, 2M34, 4M34, 6M34
ifd0115;IFD0115;ESTADO SOLIDO;98;90;IFD0098;;exatas;OPT;Nao Ofertada
ifd0183;IFD0183 | IFD0179;FISICA 3;98;60;IFD0179 E MAT0026 OU ENE0177;;exatas;OPT;24T23, 24T45, 26N34, 2T45, 35T23, 35T45, 46M34, 4T45
